repo,file_path,file_type,job_name,step_name,task_category,normalized_tool,raw_match
packaging,.github/workflows/test.yml,github_actions,,,configuration_provisioning,actions/setup-python,actions/setup-python@a309ff8b426b58ec0e2a45f0f869d46889d02405
packaging,.github/workflows/test.yml,github_actions,,,configuration_provisioning,astral-sh/setup-uv,astral-sh/setup-uv@08807647e7069bb48b6ef5acd8ec9567f424441b
packaging,.github/workflows/test.yml,github_actions,,,configuration_provisioning,nox,nox
packaging,.github/workflows/test.yml,github_actions,downstream,Run nox,configuration_provisioning,nox,nox
packaging,.github/workflows/test.yml,github_actions,pickle,Run nox,configuration_provisioning,nox,nox
packaging,.github/workflows/test.yml,github_actions,property-tests,Run nox,configuration_provisioning,nox,nox
packaging,.github/workflows/test.yml,github_actions,test,Run nox,configuration_provisioning,nox,nox
packaging,.github/workflows/test.yml,github_actions,,,configuration_provisioning,pip,pip
packaging,.github/workflows/test.yml,github_actions,,,continuous_integration_server,GitHub Actions,.github/workflows/test.yml
packaging,.github/workflows/test.yml,github_actions,,,testing_tool,nox,nox
packaging,.github/workflows/test.yml,github_actions,downstream,Run nox,testing_tool,nox,nox
packaging,.github/workflows/test.yml,github_actions,pickle,Run nox,testing_tool,nox,nox
packaging,.github/workflows/test.yml,github_actions,property-tests,Run nox,testing_tool,nox,nox
packaging,.github/workflows/test.yml,github_actions,test,Run nox,testing_tool,nox,nox
packaging,.pre-commit-config.yaml,pre_commit,,,code_management_analysis,mypy,mypy
packaging,.pre-commit-config.yaml,pre_commit,,,code_management_analysis,pre-commit,pre-commit
packaging,.pre-commit-config.yaml,pre_commit,,,code_management_analysis,ruff,ruff
packaging,.pre-commit-config.yaml,pre_commit,,,configuration_provisioning,nox,nox
packaging,.pre-commit-config.yaml,pre_commit,,,testing_tool,nox,nox
packaging,.pre-commit-config.yaml,pre_commit,,,testing_tool,pytest,pytest
packaging,noxfile.py,noxfile,,,code_management_analysis,pre-commit,pre-commit
packaging,noxfile.py,noxfile,,,configuration_provisioning,nox,nox
packaging,noxfile.py,noxfile,,,configuration_provisioning,pip,pip
packaging,noxfile.py,noxfile,,,configuration_provisioning,venv,virtualenv
packaging,noxfile.py,noxfile,,,testing_tool,coverage,coverage
packaging,noxfile.py,noxfile,,,testing_tool,nox,nox
packaging,noxfile.py,noxfile,,,testing_tool,pytest,pytest
packaging,noxfile.py,noxfile,,,version_control_system,release-tags,refs/tags
packaging,pyproject.toml,pyproject,,,build_tool,flit,flit_core >=3.12
packaging,pyproject.toml,pyproject,,,build_tool,flit,flit_core.buildapi
packaging,pyproject.toml,pyproject,,,code_management_analysis,flake8,flake8
packaging,pyproject.toml,pyproject,,,code_management_analysis,mypy,[tool.mypy]
packaging,pyproject.toml,pyproject,,,code_management_analysis,mypy,mypy
packaging,pyproject.toml,pyproject,,,code_management_analysis,ruff,[tool.ruff]
packaging,pyproject.toml,pyproject,,,code_management_analysis,ruff,ruff
packaging,pyproject.toml,pyproject,,,configuration_provisioning,pip,pip
packaging,pyproject.toml,pyproject,,,testing_tool,coverage,[tool.coverage]
packaging,pyproject.toml,pyproject,,,testing_tool,coverage,coverage
packaging,pyproject.toml,pyproject,,,testing_tool,pytest,[tool.pytest]
packaging,pyproject.toml,pyproject,,,testing_tool,pytest,pytest
packaging,tests/property/test_version_releases.py,release_file,,,testing_tool,pytest,pytest
packaging,tests/property/test_version_releases.py,release_file,,,version_control_system,semantic-versioning,semver
setuptools,.github/workflows/ci-sage.yml,github_actions,,,configuration_provisioning,pip,pip
setuptools,.github/workflows/ci-sage.yml,github_actions,dist,Install prerequisites,configuration_provisioning,pip,pip
setuptools,.github/workflows/ci-sage.yml,github_actions,,,continuous_integration_server,GitHub Actions,.github/workflows/ci-sage.yml
setuptools,.github/workflows/ci-sage.yml,github_actions,,,version_control_system,release-tags,tags:
setuptools,.github/workflows/main.yml,github_actions,,,configuration_provisioning,actions/setup-python,actions/setup-python#981
setuptools,.github/workflows/main.yml,github_actions,,,configuration_provisioning,actions/setup-python,actions/setup-python@v5
setuptools,.github/workflows/main.yml,github_actions,,,configuration_provisioning,actions/setup-python,actions/setup-python`
setuptools,.github/workflows/main.yml,github_actions,collateral,Setup Python,configuration_provisioning,actions/setup-python,actions/setup-python@v5
setuptools,.github/workflows/main.yml,github_actions,integration-test,Setup Python,configuration_provisioning,actions/setup-python,actions/setup-python@v5
setuptools,.github/workflows/main.yml,github_actions,release,Setup Python,configuration_provisioning,actions/setup-python,actions/setup-python@v5
setuptools,.github/workflows/main.yml,github_actions,test,Setup Python,configuration_provisioning,actions/setup-python,actions/setup-python@v5
setuptools,.github/workflows/main.yml,github_actions,,,configuration_provisioning,pip,pip
setuptools,.github/workflows/main.yml,github_actions,collateral,Install tox,configuration_provisioning,pip,pip
setuptools,.github/workflows/main.yml,github_actions,integration-test,Install tox,configuration_provisioning,pip,pip
setuptools,.github/workflows/main.yml,github_actions,release,Install tox,configuration_provisioning,pip,pip
setuptools,.github/workflows/main.yml,github_actions,test,Install tox,configuration_provisioning,pip,pip
setuptools,.github/workflows/main.yml,github_actions,test,Pre-build distributions for test,configuration_provisioning,pip,pip
setuptools,.github/workflows/main.yml,github_actions,test_cygwin,Create coverage report,configuration_provisioning,pip,pip
setuptools,.github/workflows/main.yml,github_actions,test_cygwin,Install tox using pip,configuration_provisioning,pip,pip
setuptools,.github/workflows/main.yml,github_actions,,,configuration_provisioning,tox,tox
setuptools,.github/workflows/main.yml,github_actions,collateral,Eval ${{ matrix.job }},configuration_provisioning,tox,tox
setuptools,.github/workflows/main.yml,github_actions,collateral,Install tox,configuration_provisioning,tox,tox
setuptools,.github/workflows/main.yml,github_actions,integration-test,Install tox,configuration_provisioning,tox,tox
setuptools,.github/workflows/main.yml,github_actions,integration-test,Run integration tests,configuration_provisioning,tox,tox
